Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16 13:30:00+00:00,247.50999450683594,217.5749969482422,255.42999267578125,719.9301147460938,1200.3199462890625,248.3800048828125,218.58999633789062,257.5799865722656,725.489990234375,1216.7099609375,246.17999267578125,215.2899932861328,252.38999938964844,717.489990234375,1198.2166748046875,248.27000427246094,215.6699981689453,252.47000122070312,717.5599975585938,1212.1500244140625,9564057,9257748,5904503,2035894,600363
2025-10-16 14:30:00+00:00,248.23500061035156,216.75999450683594,254.85000610351562,719.125,1195.280029296875,249.0399932861328,218.53500366210938,256.9100036621094,722.114990234375,1208.6600341796875,247.48170471191406,216.5153045654297,254.72999572753906,718.6099853515625,1195.27001953125,247.49000549316406,217.5970001220703,255.5413055419922,719.8350219726562,1199.8199462890625,4826932,3851239,1906922,786962,338437
2025-10-16 15:30:00+00:00,247.72000122070312,215.5,252.9149932861328,713.1500244140625,1189.06005859375,248.66310119628906,217.0399932861328,255.42999267578125,720.3989868164062,1196.3499755859375,247.03500366210938,215.4300994873047,252.8336944580078,712.8001098632812,1188.263671875,248.1699981689453,216.75,254.80999755859375,719.0700073242188,1195.0,3305994,3656254,1403542,868860,347924
2025-10-16 16:30:00+00:00,247.22000122070312,215.52999877929688,253.5,711.9500122070312,1188.77001953125,247.7720947265625,215.86000061035156,253.75,713.780029296875,1189.969970703125,246.0399932861328,213.8800048828125,251.50999450683594,709.5401000976562,1181.1258544921875,247.70010375976562,215.5,252.88999938964844,712.5,1188.510009765625,4045208,5533686,1467532,979445,336606
2025-10-16 17:30:00+00:00,245.66000366210938,213.17999267578125,251.64100646972656,705.4365234375,1180.1573486328125,247.4199981689453,215.75999450683594,253.72999572753906,712.72998046875,1189.58984375,245.25999450683594,213.13999938964844,250.6699981689453,703.8800048828125,1177.9100341796875,247.22000122070312,215.50999450683594,253.4600067138672,711.8200073242188,1188.77001953125,3995746,4659136,1237440,1075991,239168
2025-10-16 18:30:00+00:00,246.5500030517578,214.07000732421875,252.11000061035156,708.5599975585938,1179.4000244140625,247.02000427246094,214.8699951171875,252.86000061035156,710.5,1182.5,245.1300048828125,212.8101043701172,250.91000366210938,704.3599853515625,1176.155029296875,245.63999938964844,213.1999969482422,251.64439392089844,705.4349975585938,1179.4100341796875,3603265,5234988,1346462,888484,239063
2025-10-16 19:30:00+00:00,247.42999267578125,214.47000122070312,251.8800048828125,712.0599975585938,1183.2249755859375,247.91000366210938,215.0,252.74000549316406,713.0,1185.125,246.35000610351562,213.63999938964844,251.61000061035156,707.7239990234375,1177.8499755859375,246.55999755859375,214.10000610351562,252.15049743652344,708.5599975585938,1179.6300048828125,3734949,4346792,2758143,963254,406051
2025-10-17 13:30:00+00:00,249.5601043701172,213.9600067138672,252.1300048828125,713.8200073242188,1194.6199951171875,250.32000732421875,214.8000030517578,252.88999938964844,715.739990234375,1196.0,247.27000427246094,212.6199951171875,248.58999633789062,706.1199951171875,1178.9599609375,248.02000427246094,214.55999755859375,251.34500122070312,707.0750122070312,1183.5999755859375,11142993,10392685,4548744,2995068,659310
